Potential,GSAslope,SS,FirstNorm,LastNorm,OrthogonalityDefect,Frobenius,TraceNorm,$L_{\infty}$-norm,DetOfLog,GSO_Linfty
76682.476832,0.080607,605265127.421074,5579.019986,8814.820815,197.044530,74347.153792,486483.953783,78073.000000,-191.354877,48728.319913
76662.664101,0.080369,596378196.252257,5579.019986,8814.820815,197.077904,74383.414865,489646.083828,78073.000000,-191.860230,48728.319913
76647.475030,0.080187,594724914.687677,5579.019986,8814.820815,196.634016,74035.101763,487207.130125,78073.000000,-191.125077,48728.319913
76585.908732,0.079448,578753047.815800,5579.019986,8814.820815,196.327700,73760.990476,485413.571019,78073.000000,-191.802206,48728.319913
76592.413637,0.079526,579989449.272772,5579.019986,8814.820815,195.289364,73092.896755,482967.118824,78073.000000,-189.092394,48728.319913
76585.888996,0.079447,578017477.934349,5579.019986,8814.820815,195.980815,73467.812680,485753.755746,78073.000000,-190.444361,48728.319913
76576.075871,0.079330,576788656.902918,5579.019986,8814.820815,195.084581,72857.867180,482935.690976,78073.000000,-192.306202,48728.319913
76553.190682,0.079055,572293806.130167,5579.019986,8814.820815,195.060874,72848.032348,482889.563189,78073.000000,-189.583152,48728.319913
76523.546408,0.078699,566758394.555174,5579.019986,8814.820815,193.197557,71573.545120,476107.444211,78073.000000,-191.019047,48728.319913
76484.156723,0.078227,562103745.729383,5579.019986,8814.820815,193.382744,71715.290427,474726.423281,78073.000000,-191.400158,48728.319913
76486.051837,0.078249,562366531.211247,5579.019986,8814.820815,193.148866,71511.172533,473136.012049,78073.000000,-191.341865,48728.319913
76457.789240,0.077910,560578041.986164,5579.019986,8814.820815,193.018012,71319.365196,471746.081540,78073.000000,-191.803138,48728.319913
76452.661938,0.077849,560006670.334217,5579.019986,8814.820815,192.911322,71265.807313,474354.821178,78073.000000,-191.641913,48728.319913
76453.121939,0.077854,560012125.402754,5579.019986,8814.820815,192.028399,70622.207499,468910.977984,78073.000000,-190.604874,48728.319913
76383.242083,0.077015,552073440.851632,5579.019986,8814.820815,191.285690,70244.736059,466852.959856,78073.000000,-191.265266,48728.319913
76356.724679,0.076697,550097473.127381,5579.019986,8814.820815,191.443539,70250.223551,465218.807752,78073.000000,-191.031770,48728.319913
76350.044015,0.076617,549036889.625333,5579.019986,8814.820815,191.173975,70109.974768,463240.726303,78073.000000,-192.366880,48728.319913
76305.144500,0.076078,545920928.735790,5579.019986,8814.820815,190.861571,69944.649495,461207.838225,78073.000000,-191.108618,48728.319913
76295.250083,0.075959,544979477.783731,5579.019986,8814.820815,191.340443,70298.415146,463500.614952,78073.000000,-190.071010,48728.319913
76300.863999,0.076027,545131759.041812,5579.019986,8814.820815,190.871723,69890.739265,459143.753261,78073.000000,-192.588722,48728.319913
76265.918562,0.075607,543122365.690582,5579.019986,8814.820815,190.873064,69840.026697,457571.490353,78073.000000,-190.465682,48728.319913
76270.763073,0.075666,543486447.182222,5579.019986,8814.820815,190.238406,69365.163432,455779.005537,78073.000000,-188.403886,48728.319913
76264.414903,0.075589,543394917.727598,5579.019986,8814.820815,189.498016,68910.774528,452664.718449,78073.000000,-190.399359,48728.319913
76259.575177,0.075531,543323188.132106,5579.019986,8814.820815,189.713903,69016.677535,451592.868122,78073.000000,-192.005446,48728.319913
76254.724063,0.075473,543272767.059486,5579.019986,8814.820815,188.940132,68388.861052,447663.007166,73497.000000,-190.306123,48728.319913
76177.914157,0.074551,538921377.423288,5579.019986,8814.820815,188.798343,68231.497917,444236.719896,72375.000000,-191.033447,48728.319913
76141.542266,0.074115,537702099.178163,5579.019986,8814.820815,188.913240,68210.813673,443939.361623,72375.000000,-190.928738,48728.319913
76131.721820,0.073997,537588463.626816,5579.019986,8814.820815,189.397173,68589.865235,443414.004064,72375.000000,-190.111126,48728.319913
